School Year,Building Code,DBN,Location Code,Location Name,Major Crime,Other Crime,Non Criminal,Property Crime,Violent Crime,NTA
2013-14,K324,0,0,800 GATES AVENUE CONSOLIDATED LOCATION,2.0,1.0,3.0,2.0,1.0,Stuyvesant Heights
2013-14,K327,23K327,K327,P.S. 327 Dr. Rose B. English,1.0,0.0,3.0,0.0,1.0,Brownsville
2013-14,K329,21K329,K329,P.S. 329 Surfside,0.0,0.0,1.0,0.0,0.0,Seagate-Coney Island
2013-14,K332,0,0,51 CHRISTOPHER AVENUE CONSOLIDATED LOCATION,0.0,0.0,1.0,0.0,0.0,Brownsville
2013-14,K346,0,0,1400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,0.0,2.0,5.0,0.0,1.0,Starrett City
2013-14,K356,0,0,104 SUTTER AVENUE CONSOLIDATED LOCATION,1.0,1.0,1.0,2.0,0.0,Brownsville
2013-14,K366,18K366,K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,0.0,1.0,0.0,1.0,0.0,Canarsie
2013-14,K369,75K369,K369,P.S. K369  - Coy L. Cox School,0.0,0.0,1.0,0.0,0.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2013-14,K371,75K371,K371,P.S. 371 - Lillian L. Rashkis,6.0,6.0,3.0,3.0,7.0,Sunset Park West
2013-14,K377,32K377,K377,P.S. 377 Alejandrina B. De Gautier,0.0,2.0,1.0,0.0,0.0,Bushwick South
2013-14,K383,0,0,1300 GREENE AVENUE CONSOLIDATED LOCATION,0.0,1.0,0.0,1.0,0.0,Bushwick North
2013-14,K384,32K384,K384,P.S. /I.S. 384 Frances E. Carter,1.0,2.0,4.0,1.0,2.0,Bushwick North
2013-14,K390,0,0,1224 PARK PLACE CONSOLIDATED LOCATION,0.0,1.0,0.0,0.0,0.0,Crown Heights North
2013-14,K391,0,0,790 EAST NEW YORK AVENUE CONSOLIDATED LOCATION,2.0,6.0,5.0,7.0,1.0,Prospect Lefferts Gardens-Wingate
2013-14,K395,22K109,K109,P.S. 109,0.0,0.0,1.0,0.0,0.0,East Flatbush-Farragut
2013-14,K396,75K396,K396,P.S. K396,0.0,1.0,2.0,0.0,1.0,Brownsville
2013-14,K397,17K397,K397,P.S. 397 Foster-Laurie,0.0,1.0,0.0,1.0,0.0,Prospect Lefferts Gardens-Wingate
2013-14,K398,0,0,60 EAST  94 STREET CONSOLIDATED LOCATION,0.0,1.0,1.0,1.0,0.0,Rugby-Remsen Village
2013-14,K400,0,0,2630 BENSON AVENUE CONSOLIDATED LOCATION,1.0,8.0,6.0,8.0,0.0,Gravesend
2013-14,K405,22K405,K405,Midwood High School,3.0,11.0,2.0,12.0,2.0,Flatbush
2013-14,K410,0,0,2800 OCEAN PARKWAY CONSOLIDATED LOCATION,3.0,15.0,29.0,5.0,9.0,West Brighton
2013-14,K415,0,0,5800 TILDEN AVENUE CONSOLIDATED LOCATION,2.0,5.0,4.0,3.0,3.0,Rugby-Remsen Village
2013-14,K420,0,0,999 JAMAICA AVENUE CONSOLIDATED LOCATION,3.0,5.0,18.0,4.0,3.0,park-cemetery-etc-Brooklyn
2013-14,K422,0,0,1065 ELTON STREET CONSOLIDATED LOCATION,1.0,3.0,1.0,2.0,2.0,East New York
2013-14,K425,22K425,K425,James Madison High School,2.0,8.0,26.0,1.0,5.0,Madison
2013-14,K430,13K430,K430,Brooklyn Technical High School,2.0,6.0,8.0,3.0,0.0,Fort Greene
2013-14,K435,0,0,400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,4.0,8.0,20.0,6.0,5.0,East New York (Pennsylvania Ave)
2013-14,K440,0,0,883 CLASSON AVENUE CONSOLIDATED LOCATION,1.0,8.0,19.0,2.0,6.0,Crown Heights South
2013-14,M008,06M008,M008,P.S. 008 Luis Belliard,0.0,1.0,0.0,0.0,1.0,Washington Heights South
2013-14,K445,0,0,1601 80 STREET CONSOLIDATED LOCATION,2.0,9.0,8.0,6.0,4.0,Bensonhurst West
2013-14,K450,0,0,850 GRAND STREET CONSOLIDATED LOCATION,2.0,11.0,21.0,10.0,1.0,Bushwick South
2013-14,K455,0,0,1700 FULTON STREET CONSOLIDATED LOCATION,5.0,4.0,33.0,6.0,1.0,Crown Heights North
2013-14,K458,0,0,832 MARCY AVENUE CONSOLIDATED LOCATION,0.0,3.0,2.0,2.0,1.0,Bedford
2013-14,K460,0,0,237 7 AVENUE CONSOLIDATED LOCATION,2.0,9.0,14.0,7.0,2.0,Park Slope-Gowanus
2013-14,K465,0,0,911 FLATBUSH AVENUE CONSOLIDATED LOCATION,4.0,6.0,17.0,3.0,5.0,Erasmus
2013-14,K470,0,0,600 KINGSTON AVENUE CONSOLIDATED LOCATION,3.0,2.0,16.0,2.0,3.0,Prospect Lefferts Gardens-Wingate
2013-14,K480,0,0,400 IRVING AVENUE CONSOLIDATED LOCATION,3.0,11.0,37.0,7.0,3.0,Bushwick North
2013-14,K485,20K485,K485,High School of  Telecommunication Arts and Technol,0.0,3.0,2.0,2.0,0.0,Bay Ridge
2013-14,K486,20K187,K187,The Christa McAuliffe School\I.S. 187,0.0,0.0,1.0,0.0,0.0,Dyker Heights
2013-14,K490,20K490,K490,Fort Hamilton High School,1.0,10.0,7.0,9.0,1.0,Bay Ridge
2013-14,K495,0,0,3000 AVENUE X CONSOLIDATED LOCATION,2.0,14.0,35.0,11.0,4.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
2013-14,K500,0,0,1600 ROCKAWAY PARKWAY CONSOLIDATED LOCATION,1.0,4.0,11.0,2.0,3.0,Canarsie
2013-14,K505,0,0,5800 20 AVENUE CONSOLIDATED LOCATION,0.0,7.0,4.0,4.0,1.0,Borough Park
2013-14,K515,0,0,6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,1.0,7.0,28.0,4.0,1.0,Canarsie
2013-14,K520,15K423,K423,Brooklyn Frontiers High School,0.0,0.0,3.0,0.0,0.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2013-14,K525,21K525,K525,Edward R. Murrow High School,2.0,8.0,6.0,8.0,2.0,Midwood
2013-14,K540,21K540,K540,John Dewey High School,3.0,8.0,10.0,3.0,8.0,Gravesend
2013-14,K554,32K554,K554,All City Leadership Secondary School,0.0,0.0,1.0,0.0,0.0,Bushwick North
2013-14,K564,15K667,K667,Sunset Park High School,3.0,4.0,3.0,2.0,5.0,Sunset Park West
2013-14,K580,0,0,105 JOHNSON STREET CONSOLIDATED LOCATION,3.0,9.0,13.0,6.0,4.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2013-14,K590,17K590,K590,Medgar Evers College Preparatory School,2.0,4.0,2.0,5.0,1.0,Crown Heights South
2013-14,K600,17K600,K600,Clara Barton High School,0.0,7.0,14.0,3.0,4.0,Crown Heights South
2013-14,K610,0,0,50 BEDFORD AVENUE CONSOLIDATED LOCATION,2.0,3.0,5.0,4.0,0.0,North Side-South Side
2013-14,K615,19K615,K615,Transit Tech Career and Technical Education High S,0.0,2.0,16.0,0.0,1.0,East New York
2013-14,K620,0,0,25 BRIGHTON  4TH ROAD CONSOLIDATED LOCATION,2.0,1.0,13.0,1.0,2.0,Brighton Beach
2013-14,K625,0,0,150 ALBANY AVENUE CONSOLIDATED LOCATION,0.0,3.0,19.0,0.0,2.0,Crown Heights North
