DBN,Grad_rate,Coll_rate,NTA,School Year
11X290,0.7,0.62,Williamsbridge-Olinville,2013-14
11X513,0.75,0.72,Williamsbridge-Olinville,2013-14
11X514,0.72,0.34,Williamsbridge-Olinville,2013-14
11X544,0.73,0.31,Williamsbridge-Olinville,2013-14
14K071,0.59,0.35,Williamsburg,2013-14
14K685,0.64,0.33,Williamsburg,2013-14
22K555,0.99,0.9,Windsor Terrace,2013-14
02M655,0.76,0.43,Yorkville,2013-14
19K659,0.5,0.31,park-cemetery-etc-Brooklyn,2013-14
06M552,0.56,0.45,,2013-14
