DBN,graduation_rate_2011,college_career_rate_2011,graduation_rate_2012,college_career_rate_2012,graduation_rate_2013,college_career_rate_2013,graduation_rate_2014,college_career_rate_2014,Address,Borough Name,Community Board,Council District ,Census Tract,NTA,Precinct,Population
08X405,0.506,0.418,0.502,0.33799999999999997,0.54,0.33,0.52,0.37,3000 EAST TREMONT AVENUE,BRONX    ,10.0,13.0,194,Schuylerville-Throgs Neck-Edgewater Park,45.0,120833.0
08X452,0.698,0.49200000000000005,0.639,0.395,0.52,0.45,0.57,0.32,1980 LAFAYETTE AVENUE,BRONX    ,9.0,18.0,16,Soundview-Castle Hill-Clason Point-Harding Park,43.0,172122.0
08X519,0.63,0.272,0.664,0.34600000000000003,0.43,0.32,0.42,0.24,1440 STORY AVENUE,BRONX    ,9.0,17.0,28,Soundview-Castle Hill-Clason Point-Harding Park,43.0,172122.0
08X530,0.556,0.327,0.49200000000000005,0.32299999999999995,0.42,0.33,0.4,0.22,965 LONGWOOD AVENUE,BRONX    ,2.0,17.0,87,Longwood,41.0,52246.0
09X227,0.473,0.364,0.56,0.374,0.57,0.34,0.55,0.34,240 EAST 172 STREET,BRONX    ,4.0,16.0,225,East Concourse-Concourse Village,44.0,146441.0
09X231,0.716,0.563,0.726,0.526,0.68,0.58,0.71,0.51,4143 THIRD AVENUE,BRONX    ,6.0,15.0,395,Claremont-Bathgate,48.0,83266.0
09X250,0.741,0.475,0.818,0.5,0.82,0.46,0.85,0.68,1363 FULTON AVENUE,BRONX    ,3.0,16.0,"14,701",Claremont-Bathgate,42.0,79762.0
09X252,0.833,0.523,0.8190000000000001,0.6759999999999999,0.85,0.65,0.69,0.69,1595 BATHGATE AVENUE,BRONX    ,3.0,16.0,167,Claremont-Bathgate,42.0,79762.0
09X260,0.847,0.6829999999999999,0.8809999999999999,0.6629999999999999,0.92,0.78,0.88,0.83,1363 FULTON AVENUE,BRONX    ,3.0,16.0,"14,701",Claremont-Bathgate,42.0,79762.0
09X263,0.657,0.5710000000000001,0.65,0.402,0.65,0.41,0.58,0.49,1595 BATHGATE AVENUE,BRONX    ,3.0,16.0,167,Claremont-Bathgate,42.0,79762.0
09X276,0.575,0.303,0.446,0.391,0.56,0.28,0.41,0.25,1701 FULTON AVENUE,BRONX    ,3.0,15.0,165,Claremont-Bathgate,42.0,79762.0
09X297,0.6859999999999999,0.301,0.635,0.295,0.63,0.34,0.59,0.39,1110 BOSTON ROAD,BRONX    ,3.0,16.0,135,Morrisania-Melrose,42.0,79762.0
09X329,0.489,0.337,0.5429999999999999,0.344,0.33,0.37,0.44,0.24,240 EAST 172 STREET,BRONX    ,4.0,16.0,225,East Concourse-Concourse Village,44.0,146441.0
09X403,0.59,0.43799999999999994,0.631,0.41,0.5,0.45,0.68,0.33,1110 BOSTON ROAD,BRONX    ,3.0,16.0,135,Morrisania-Melrose,42.0,79762.0
09X404,0.635,0.28800000000000003,0.569,0.294,0.62,0.27,0.5,0.4,1110 BOSTON ROAD,BRONX    ,3.0,16.0,135,Morrisania-Melrose,42.0,79762.0
09X412,0.508,0.304,0.425,0.303,0.43,0.34,0.45,0.23,240 EAST 172 STREET,BRONX    ,4.0,16.0,225,East Concourse-Concourse Village,44.0,146441.0
09X413,0.7829999999999999,0.7120000000000001,0.925,0.565,0.88,0.84,0.83,0.69,240 EAST 172 STREET,BRONX    ,4.0,16.0,225,East Concourse-Concourse Village,44.0,146441.0
09X505,0.7070000000000001,0.626,0.738,0.616,0.84,0.66,0.77,0.7,244 EAST 163 STREET,BRONX    ,4.0,16.0,"18,302",East Concourse-Concourse Village,44.0,146441.0
09X517,0.8,0.528,0.785,0.522,0.69,0.49,0.72,0.32,3630 THIRD AVENUE,BRONX    ,3.0,16.0,"14,701",Claremont-Bathgate,42.0,79762.0
09X525,0.6709999999999999,0.583,0.6990000000000001,0.419,0.57,0.48,0.61,0.37,1710 WEBSTER AVENUE,BRONX    ,3.0,15.0,165,Claremont-Bathgate,42.0,79762.0
09X543,0.765,0.319,0.7140000000000001,0.33299999999999996,0.49,0.41,0.62,0.3,1110 BOSTON ROAD,BRONX    ,3.0,16.0,135,Morrisania-Melrose,42.0,79762.0
10X141,0.87,0.784,0.8390000000000001,0.82,0.78,0.67,0.83,0.61,660 WEST 237 STREET,BRONX    ,8.0,11.0,309,North Riverdale-Fieldston-Riverdale,50.0,101720.0
10X213,0.69,0.42200000000000004,0.6990000000000001,0.457,0.74,0.44,0.6,0.5,99 TERRACE VIEW AVENUE,BRONX    ,8.0,10.0,309,Marble Hill-Inwood,50.0,101720.0
10X237,0.6409999999999999,0.662,0.784,0.397,0.67,0.66,0.68,0.53,120 WEST 231 STREET,BRONX    ,8.0,14.0,273,Van Cortlandt Village,50.0,101720.0
10X243,0.586,0.324,0.667,0.457,0.74,0.38,0.65,0.4,500 EAST FORDHAM ROAD,BRONX    ,6.0,15.0,387,Belmont,48.0,83266.0
10X268,0.593,0.24100000000000002,0.48200000000000004,0.311,0.48,0.47,0.57,0.4,2780 RESERVOIR AVENUE,BRONX    ,7.0,11.0,409,Van Cortlandt Village,52.0,139307.0
10X284,0.6940000000000001,0.465,0.723,0.439,0.66,0.47,0.65,0.47,99 TERRACE VIEW AVENUE,BRONX    ,8.0,10.0,309,Marble Hill-Inwood,50.0,101720.0
10X342,0.64,0.282,0.711,0.34,0.65,0.38,0.61,0.37,2780 RESERVOIR AVENUE,BRONX    ,7.0,11.0,409,Van Cortlandt Village,52.0,139307.0
10X368,0.7709999999999999,0.5,0.8390000000000001,0.593,0.69,0.68,0.9,0.58,2975 TIBBETT AVENUE,BRONX    ,8.0,11.0,"29,302",Spuyten Duyvil-Kingsbridge,50.0,101720.0
10X433,0.7020000000000001,0.307,0.529,0.529,0.68,0.3,0.72,0.39,2780 RESERVOIR AVENUE,BRONX    ,7.0,11.0,409,Van Cortlandt Village,52.0,139307.0
10X434,0.726,0.423,0.66,0.466,0.65,0.34,0.7,0.48,500 EAST FORDHAM ROAD,BRONX    ,6.0,15.0,387,Belmont,48.0,83266.0
10X437,0.855,0.325,0.7559999999999999,0.319,0.85,0.33,0.77,0.44,500 EAST FORDHAM ROAD,BRONX    ,6.0,15.0,387,Belmont,48.0,83266.0
10X438,0.457,0.311,0.526,0.37799999999999995,0.38,0.31,0.4,0.22,500 EAST FORDHAM ROAD,BRONX    ,6.0,15.0,387,Belmont,48.0,83266.0
10X439,0.531,0.299,0.586,0.302,0.68,0.45,0.75,0.41,500 EAST FORDHAM ROAD,BRONX    ,6.0,15.0,387,Belmont,48.0,83266.0
10X440,0.5710000000000001,0.43200000000000005,0.499,0.40299999999999997,0.55,0.34,0.45,0.39,100 WEST MOSHOLU PARKWAY SOUTH,BRONX    ,7.0,11.0,409,Van Cortlandt Village,52.0,139307.0
10X442,0.7879999999999999,0.5479999999999999,0.8220000000000001,0.624,0.87,0.54,0.89,0.62,2780 RESERVOIR AVENUE,BRONX    ,7.0,11.0,409,Van Cortlandt Village,52.0,139307.0
10X477,0.8109999999999999,0.6920000000000001,0.922,0.632,0.9,0.74,0.91,0.76,99 TERRACE VIEW AVENUE,BRONX    ,8.0,10.0,309,Marble Hill-Inwood,50.0,101720.0
10X546,0.59,0.42700000000000005,0.731,0.41,0.74,0.5,0.71,0.54,99 TERRACE VIEW AVENUE,BRONX    ,8.0,10.0,309,Marble Hill-Inwood,50.0,101720.0
10X549,0.622,0.415,0.541,0.44799999999999995,0.57,0.37,0.63,0.29,2780 RESERVOIR AVENUE,BRONX    ,7.0,11.0,409,Van Cortlandt Village,52.0,139307.0
11X253,0.615,0.397,0.568,0.33299999999999996,0.54,0.27,0.62,0.18,800 EAST GUN HILL ROAD,BRONX    ,12.0,12.0,372,Williamsbridge-Olinville,47.0,152374.0
11X265,0.6920000000000001,0.46,0.578,0.418,0.66,0.39,0.69,0.41,800 EAST GUN HILL ROAD,BRONX    ,12.0,12.0,372,Williamsbridge-Olinville,47.0,152374.0
11X270,0.575,0.5,0.6990000000000001,0.405,0.74,0.34,0.68,0.43,921 EAST 228TH STREET,BRONX    ,12.0,12.0,404,Williamsbridge-Olinville,47.0,152374.0
11X275,0.762,0.517,0.8190000000000001,0.519,0.85,0.67,0.85,0.53,800 EAST GUN HILL ROAD,BRONX    ,12.0,12.0,372,Williamsbridge-Olinville,47.0,152374.0
11X288,0.8059999999999999,0.653,0.895,0.612,0.89,0.81,0.82,0.72,925 ASTOR AVENUE,BRONX    ,11.0,13.0,324,Bronxdale,49.0,114712.0
11X290,0.7090000000000001,0.54,0.735,0.615,0.66,0.67,0.7,0.62,800 EAST GUN HILL ROAD,BRONX    ,12.0,12.0,372,Williamsbridge-Olinville,47.0,152374.0
11X299,0.655,0.46,0.685,0.414,0.63,0.45,0.65,0.49,925 ASTOR AVENUE,BRONX    ,11.0,13.0,324,Bronxdale,49.0,114712.0
11X418,0.644,0.381,0.624,0.373,0.58,0.35,0.57,0.34,2040 ANTIN PL,BRONX    ,11.0,13.0,228,Pelham Parkway,49.0,114712.0
11X455,0.621,0.363,0.6509999999999999,0.321,0.58,0.34,0.66,0.34,750 BAYCHESTER AVENUE,BRONX    ,10.0,12.0,"46,201",Co-op City,45.0,120833.0
11X513,0.545,0.516,0.743,0.5,0.84,0.57,0.75,0.72,921 EAST 228TH STREET,BRONX    ,12.0,12.0,404,Williamsbridge-Olinville,47.0,152374.0
11X514,0.46399999999999997,0.183,0.5,0.281,0.57,0.24,0.72,0.34,921 EAST 228TH STREET,BRONX    ,12.0,12.0,404,Williamsbridge-Olinville,47.0,152374.0
11X542,0.925,0.7909999999999999,0.9129999999999999,0.8320000000000001,0.95,0.83,0.89,0.79,925 ASTOR AVENUE,BRONX    ,11.0,13.0,324,Bronxdale,49.0,114712.0
11X544,0.745,0.364,0.721,0.491,0.71,0.57,0.73,0.31,800 EAST GUN HILL ROAD,BRONX    ,12.0,12.0,372,Williamsbridge-Olinville,47.0,152374.0
12X248,0.7,0.42700000000000005,0.747,0.532,0.71,0.42,0.63,0.59,1180 REV. J.A. POLITE AVE.,BRONX    ,2.0,17.0,131,Longwood,41.0,52246.0
12X251,0.6920000000000001,0.342,0.625,0.41700000000000004,0.55,0.41,0.65,0.35,1619 BOSTON ROAD,BRONX    ,3.0,17.0,155,Crotona Park East,42.0,79762.0
